"enabled","id","category","status","title","date","authors","venue","keywords","labs","pdf_url","arxiv_url","github_url","project_url","featured","summary","notes"
"TRUE","iknow-publications-assay-reconciling-stability-and-validity-in-reference-free-scientific-llm-judges","efficient_learning_for_llms","published","ASSAY: Reconciling Stability and Validity in Reference-Free Scientific LLM Judges","2026-01-01","Soyeon Hong, Heegyu Kim, Ji Hoon Hong, Jindong Hwang, Juhyeon Ha, SungBeom Cho, Hyunsouk Cho","Findings of EMNLP 2026","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Findings of EMNLP 2026 publication from iKnow Lab.",""
"TRUE","iknow-publications-cascade-constraint-aware-scaffolded-decomposition-for-logical-anomaly-detection","efficient_learning_for_llms","published","CASCADE: Constraint-Aware Scaffolded Decomposition for Logical Anomaly Detection","2026-01-01","Jinchan Kim, Jinhee Im, and Hyunsouk Cho","ICDM 2026","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","ICDM 2026 publication from iKnow Lab.",""
"TRUE","iknow-publications-closed-loop-solid-state-synthesis-planning-for-materials-discovery-with-large-language-models","industrial_and_medical_ai","published","Closed-Loop Solid-State Synthesis Planning for Materials Discovery With Large Language Models","2026-01-01","Dong Won Jeon, Dong Hwi Kim, Taeyang Jeon, Joo Yeong Na, Heegyu Kim, Hyunsouk Cho , Dae Soo Jung, Ju Li, Jin-Sung Park, Sung Beom Cho","Advanced Materials 2026","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Advanced Materials 2026 publication from iKnow Lab.",""
"TRUE","iknow-publications-collaborative-adaptation-without-forgetting-in-source-free-domain-adaptation","computer_vision_and_learning_algorithms","published","Collaborative adaptation without forgetting in source-free domain adaptation","2026-01-01","Jisu Han, Joong-Won Hwang, Hyunsouk Cho , Wonjun Hwang","Pattern Recognition 2026","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Pattern Recognition 2026 publication from iKnow Lab.",""
"TRUE","iknow-publications-filter-by-quality-stop-by-difficulty-confidence-aware-self-consistency-with-adaptive-early-stopping","efficient_learning_for_llms","published","Filter by Quality, Stop by Difficulty: Confidence-Aware Self-Consistency with Adaptive Early Stopping","2026-01-01","Jooyeong Na, Wansik Jo, Hyunsouk Cho","Findings of EMNLP 2026","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Findings of EMNLP 2026 publication from iKnow Lab.",""
"TRUE","lamda-publications-dual-freqdae-frequency-aware-dual-branch-transformer-autoencoder-for-ecg-denoising-in-mixed-noise-conditions","industrial_and_medical_ai","published","Dual-FreqDAE: Frequency-aware dual-branch transformer autoencoder for ECG denoising in mixed noise conditions","2026-01-01","Dong-Hun Choi, Jeong-Hyeon Moon, Kyung-Ah Sohn","BSPC 2026","","LAMDA Lab","","","","https://www.sciencedirect.com/science/article/pii/S1746809426014783?dgcid=author","FALSE","BSPC 2026 publication from LAMDA Lab.",""
"TRUE","lamda-publications-empathy-is-steerable-but-multi-axial-mechanism-geometry-and-persona-effects-in-llms","efficient_learning_for_llms","working","Empathy Is Steerable but Multi-Axial: Mechanism Geometry and Persona Effects in LLMs","2026-01-01","JuHeon Ha, Byounghan Lee, Yunseo Choi, Kyung-Ah Sohn","EMNLP 2026","","LAMDA Lab","","","","https://sites.google.com/","FALSE","EMNLP 2026 publication from LAMDA Lab.",""
"TRUE","lamda-publications-neuronetfusion-enhanced-eeg-abnormality-classification-via-multi-network-tf-idf-feature-selection","industrial_and_medical_ai","published","NeuroNetFusion: enhanced EEG abnormality classification via multi-network TF-IDF feature selection","2026-01-01","Sangjin Ahn, So Yeon Kim † & Kyung-Ah Sohn †","Sci Rep 2026","","LAMDA Lab","","","","https://doi.org/10.1038/s41598-026-52750-x","FALSE","Sci Rep 2026 publication from LAMDA Lab.",""
"TRUE","lamda-publications-semi-supervised-fatty-liver-classification-using-attention-based-graph-neural-network-models","industrial_and_medical_ai","published","Semi-Supervised Fatty Liver Classification Using Attention-Based Graph Neural Network Models","2026-01-01","So Yeon Kim † , Sehee Wang † , Kyung-Ah Sohn * , Eun Kyung Choe *","JKMS 2026","","LAMDA Lab","","","","https://jkms.org/DOIx.php?id=10.3346/jkms.2026.41.e30","FALSE","JKMS 2026 publication from LAMDA Lab.",""
"TRUE","sail-publications-accentdrift-real-time-streaming-accent-conversion-via-sparse-speech-tokenization","efficient_learning_for_llms","published","AccentDrift: Real-time Streaming Accent Conversion via Sparse Speech Tokenization","2026-01-01","S.-H. Lee, H. Choi, J. Lee, and S. Park","Interspeech 2026","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","Interspeech 2026 publication from SAIL.",""
"TRUE","sail-publications-hierarchical-representation-alignment-learning-of-diffusion-transformers-for-neural-audio-codec","efficient_learning_for_llms","published","Hierarchical Representation Alignment Learning of Diffusion Transformers for Neural Audio Codec","2026-01-01","S.-H. Lee and H.-Y. Choi","ACL 2026","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","ACL 2026 publication from SAIL.",""
"TRUE","sail-publications-regen-hierarchical-multi-prompt-representation-generation-for-efficient-waveform-diffusion-models","efficient_learning_for_llms","published","ReGen: Hierarchical Multi-Prompt Representation Generation for Efficient Waveform Diffusion Models","2026-01-01","S.-H. Lee and H.-Y. Choi","ICML 2026","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","ICML 2026 publication from SAIL.",""
"TRUE","core-capub1-do-your-best-and-get-enough-rest-for-continual","computer_vision_and_learning_algorithms","published","Do Your Best and Get Enough Rest for Continual Learning","2025-06-01","Hankyul Kang, Gregor Seifer, Donghyun Lee, Jongbin Ryu","CVPR 2025","Continual Learning | Self-Supervised Learning | Replay Methods","MMAI Lab","","","https://github.com/hankyul2/ViewBatchModel","https://openaccess.thecvf.com/content/CVPR2025/html/Kang_Do_Your_Best_and_Get_Enough_Rest_for_Continual_Learning_CVPR_2025_paper.html","FALSE","",""
"TRUE","hei-2025-clip-rt","robot_learning","published","CLIP-RT: Learning Language-Conditioned Robotic Policies from Natural Language Supervision","2025-06-01","Gi-Cheon Kang, Junghyun Kim, Kyuhwan Shim, Jun Ki Lee, Byoung-Tak Zhang","RSS 2025","Vision-Language-Action | Natural Language Supervision | Robot Learning","HEI Lab","https://www.roboticsproceedings.org/rss21/p016.pdf","","https://github.com/clip-rt/clip-rt","https://clip-rt.github.io/","TRUE","Language-supervised robotic policies that make collecting robot demonstrations more accessible.",""
"TRUE","core-capub2-channel-propagation-networks-for-refreshable","computer_vision_and_learning_algorithms","published","Channel Propagation Networks for Refreshable Vision Transformer","2025-01-01","Junhyung Ko, Jongbin Ryu","WACV 2025","Vision Transformer | Channel Propagation | Over-smoothing","MMAI Lab","","","","https://openaccess.thecvf.com/content/WACV2025/papers/Go_Channel_Propagation_Networks_for_Refreshable_Vision_Transformer_WACV_2025_paper.pdf","FALSE","",""
"TRUE","core-capub3-enriching-local-patterns-with-multi-token","computer_vision_and_learning_algorithms","published","Enriching Local Patterns with Multi-Token Attention for Broad-Sight Neural Networks","2025-01-01","Hankyul Kang, Jongbin Ryu","WACV 2025","Attention Pooling | Local Patterns | Feature Representation","MMAI Lab","","","https://github.com/hankyul2/MAP","https://openaccess.thecvf.com/content/WACV2025/papers/Kang_Enriching_Local_Patterns_with_Multi-Token_Attention_for_Broad-Sight_Neural_Networks_WACV_2025_paper.pdf","FALSE","",""
"TRUE","hei-2025-continual-vln","robot_learning","published","Continual Vision-and-Language Navigation","2025-01-01","Seongjun Jeong, Gi-Cheon Kang, Seongho Choi, Joochan Kim, Byoung-Tak Zhang","BMVC 2025","Vision-Language Navigation | Continual Learning | Embodied AI","HEI Lab","","https://arxiv.org/abs/2403.15049","","https://heilaboratory.github.io/publications/","FALSE","A continual learning formulation for vision-and-language navigation agents adapting to new scene domains.",""
"TRUE","hei-publications-socratic-planner-self-qa-based-zero-shot-planning-for-embodied-instruction-following","robot_learning","published","Socratic Planner: Self-QA-Based Zero-Shot Planning for Embodied Instruction Following","2025-01-01","Suyeon Shin, Sujin Jeon*, Junghyun Kim*, Gi-Cheon Kang*, Byoung-Tak Zhang","ICRA 2025","","HEI Lab","","","","https://ieeexplore.ieee.org/abstract/document/11128677","FALSE","ICRA 2025 publication from HEI Lab.",""
"TRUE","iknow-2025-flex","efficient_learning_for_llms","published","FLEX: Expert-level False-Less EXecution Metric for Reliable Text-to-SQL Benchmark","2025-01-01","Heegyu Kim, Taeyang Jeon, Seunghwan Choi, Seungtaek Choi, Hyunsouk Cho","NAACL 2025","Text-to-SQL | Evaluation Metric | Language Models","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","An execution metric for assessing reliable Text-to-SQL systems.",""
"TRUE","iknow-publications-data-augmentation-for-improving-convergence-speed-in-federated-sequential-recommendation-system","industrial_and_medical_ai","published","Data Augmentation for Improving Convergence Speed in Federated Sequential Recommendation System","2025-01-01","Donghoon Lee, Hyunsouk Cho","IEEE Access 2025","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","IEEE Access 2025 publication from iKnow Lab.",""
"TRUE","iknow-publications-dcc-differentiable-cardinality-constraints-for-partial-index-tracking","efficient_learning_for_llms","published","DCC: Differentiable Cardinality Constraints for Partial Index Tracking","2025-01-01","Wooyeon Jo, Hyunsouk Cho","AAAI 2025","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","AAAI 2025 publication from iKnow Lab.",""
"TRUE","iknow-publications-exploring-the-side-information-fusion-for-sequential-recommendation","industrial_and_medical_ai","published","Exploring the Side-information Fusion for Sequential Recommendation","2025-01-01","Seunghwan Choi, Donghoon Lee, Hyeoungguk Kang, Hyunsouk Cho","IEEE Access 2025","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","IEEE Access 2025 publication from iKnow Lab.",""
"TRUE","iknow-publications-machine-learning-based-prediction-of-aerodynamic-performance-in-arformoterol-lactose-dry-powder-inhaler-formulations-using-surface-roughness-features","industrial_and_medical_ai","published","Machine learning-based prediction of aerodynamic performance in arformoterol-lactose dry powder inhaler formulations using surface roughness features","2025-01-01","Jin-Hyuk Jeong, Soyeon Hong, Ji-Hyeon Kwon, Soyoun Yang, Dong-Wook Kim, Nan Song, Hyunsouk Cho , Chun-Woong Park","Int J Pharm 2025","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","Int J Pharm 2025 publication from iKnow Lab.",""
"TRUE","iknow-publications-rethinking-the-training-paradigm-of-discrete-token-based-multimodal-llms-an-analysis-of-text-centric-bias","efficient_learning_for_llms","published","Rethinking the Training Paradigm of Discrete Token-Based Multimodal LLMs: An Analysis of Text-Centric Bias","2025-01-01","Wansik Jo, Jooyeong Na, Soyeon Hong, Seungtaek Choi, Hyunsouk Cho","CIKM 2025","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","CIKM 2025 publication from iKnow Lab.",""
"TRUE","iknow-publications-towards-fully-automated-materials-discovery-via-large-scale-synthesis-dataset-and-expert-level-llm-as-a-judge","efficient_learning_for_llms","published","Towards Fully-Automated Materials Discovery via Large-Scale Synthesis Dataset and Expert-Level LLM-as-a-Judge","2025-01-01","Heegyu Kim, Taeyang Jeon, Seungtaek Choi, Ji Hoon Hong, Dong Won Jeon, Ga-Yeon Baek, Gyeong-Won Kwak, Dong-Hee Lee, Jisu Bae, Chihoon Lee, Yunseo Kim, Seon-Jin Choi, Jin-Seong Park, Sung Beom Cho, Hyunsouk Cho","CIKM 2025","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","CIKM 2025 publication from iKnow Lab.",""
"TRUE","lamda-publications-evaluation-of-multi-agent-llms-in-multidisciplinary-team-decision-making-for-challenging-cancer-cases","industrial_and_medical_ai","published","Evaluation of Multi-Agent LLMs in Multidisciplinary Team Decision-Making for Challenging Cancer Cases","2025-01-01","Jaesik Kim, Byounghan Lee, Kyung-Ah Sohn, Dokyoon Kim, Young Chan Lee","MLHC 2025","","LAMDA Lab","","","","https://proceedings.mlr.press/v298/kim25a.html","FALSE","MLHC 2025 publication from LAMDA Lab.",""
"TRUE","sail-publications-coreaspeech-korean-speech-corpus-via-jamo-based-coreset-selection-for-efficient-and-robust-korean-speech-generation","efficient_learning_for_llms","published","CoreaSpeech: Korean Speech Corpus via JAMO-based Coreset Selection for Efficient and Robust Korean Speech Generation","2025-01-01","K.-J. Kwon, J.-H. So, and S.-H. Lee","NeurIPS 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","NeurIPS 2025 publication from SAIL.",""
"TRUE","sail-publications-durflex-evc-duration-flexible-emotional-voice-conversion-with-parallel-generation","industrial_and_medical_ai","published","DurFlex-EVC: Duration-Flexible Emotional Voice Conversion with Parallel Generation","2025-01-01","H.-S. Oh, S.-H. Lee, D.-H. Cho, and S.-W. Lee","IEEE TAC 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","IEEE TAC 2025 publication from SAIL.",""
"TRUE","sail-publications-hiddensinger-high-quality-singing-voice-synthesis-via-neural-audio-codec-and-latent-diffusion-models","industrial_and_medical_ai","published","HiddenSinger: High-Quality Singing Voice Synthesis via Neural Audio Codec and Latent Diffusion Models","2025-01-01","J.-S. Hwang, S.-H. Lee, and S.-W. Lee","Neural Networks 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","Neural Networks 2025 publication from SAIL.",""
"TRUE","sail-publications-hierspeech-bridging-the-gap-between-semantic-and-acoustic-representation-by-hierarchical-variational-inference-for-zero-shot-speech-synthesis","industrial_and_medical_ai","published","HierSpeech++: Bridging the Gap between Semantic and Acoustic Representation by Hierarchical Variational Inference for Zero-shot Speech Synthesis","2025-01-01","S.-H. Lee, H.-Y. Choi, S.-B. Kim, and S.-W. Lee","IEEE TNNLS 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","IEEE TNNLS 2025 publication from SAIL.",""
"TRUE","sail-publications-parameter-efficient-fine-tuning-for-low-resource-text-to-speech-via-cross-lingual-continual-learning","efficient_learning_for_llms","published","Parameter-Efficient Fine-Tuning for Low-Resource Text-to-Speech via Cross-Lingual Continual Learning","2025-01-01","K.-J. Kwon, J.-H. So, and S.-H. Lee","Interspeech 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","Interspeech 2025 publication from SAIL.",""
"TRUE","sail-publications-periodwave-multi-period-flow-matching-for-high-fidelity-waveform-generation","efficient_learning_for_llms","published","PeriodWave: Multi-Period Flow Matching for High-Fidelity Waveform Generation","2025-01-01","S.-H. Lee, H.-Y. Choi, and S.-W. Lee","ICLR 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","ICLR 2025 publication from SAIL.",""
"TRUE","sail-publications-personalized-and-controllable-voice-style-transfer-with-speech-diffusion-transformer","efficient_learning_for_llms","published","Personalized and Controllable Voice Style Transfer with Speech Diffusion Transformer","2025-01-01","H.-Y. Choi, S.-H. Lee, and S.-W. Lee","IEEE TASLP 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","IEEE TASLP 2025 publication from SAIL.",""
"TRUE","sail-publications-streamflow-streaming-audio-generation-from-discrete-tokens-via-streaming-flow-matching","efficient_learning_for_llms","published","StreamFlow: Streaming Audio Generation from Discrete Tokens via Streaming Flow Matching","2025-01-01","H.-Y. Choi and S.-H. Lee","NeurIPS 2025","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","NeurIPS 2025 publication from SAIL.",""
"TRUE","biomedical-bapub4-style-kd-class-imbalanced-medical-image","industrial_and_medical_ai","published","Style-KD : Class-Imbalanced Medical Image Classification via Style Knowledge Distillation","2024-12-29","Inhyuk Park, Won Hwa Kim, Jongbin Ryu","BSPC 2024","Class Imbalance | Knowledge Distillation | Medical Image Classification","MMAI Lab","","","","https://www.sciencedirect.com/science/article/pii/S1746809423013617","FALSE","",""
"TRUE","biomedical-bapub5-generative-self-supervised-learning-for","industrial_and_medical_ai","published","Generative Self-Supervised Learning for Medical Image Classification","2024-12-01","Inhyuk Park, Sungeun Kim, Jongbin Ryu","ACCV 2024","Generative Self-Supervised Learning | Medical Image Classification | Diffusion Model","MMAI Lab","","","https://github.com/inhyukpark2/gen-ssl","https://openaccess.thecvf.com/content/ACCV2024/html/Park_Generative_Self-Supervised_Learning_for_Medical_Image_Classification_ACCV_2024_paper.html","FALSE","",""
"TRUE","core-capub4-neural-substitution-for-branch-level-network","computer_vision_and_learning_algorithms","published","Neural Substitution for Branch-level Network Re-parameterization","2024-12-01","Seungmin Oh, Jongbin Ryu","ACCV 2024","Network Re-parameterization | Branch-level Connectivity | Model Efficiency","MMAI Lab","","","","https://openaccess.thecvf.com/content/ACCV2024/papers/Oh_Neural_Substitution_for_Branch-level_Network_Re-parameterization_ACCV_2024_paper.pdf","FALSE","",""
"TRUE","core-capub5-unsupervised-hashing-network-with-hyper","computer_vision_and_learning_algorithms","published","Unsupervised Hashing Network with Hyper Quantization Tree","2024-11-25","Sungeun Kim, Jongbin Ryu","BMVC 2024","Unsupervised Hashing | Image Retrieval | Quantization","MMAI Lab","","","https://github.com/Lab-LVM/HQT","https://bmva-archive.org.uk/bmvc/2024/papers/Paper_482/paper.pdf","FALSE","",""
"TRUE","core-capub0-spatial-bias-for-attention-free-non-local","computer_vision_and_learning_algorithms","published","Spatial Bias for Attention-free Non-local Neural Networks","2024-10-04","Junhyung Go, Jonngbin Ryu","ESWA 2024","Non-local Networks | Attention-free Vision | Spatial Bias","MMAI Lab","","","","https://www.sciencedirect.com/science/article/pii/S0957417423025551","FALSE","",""
"TRUE","biomedical-bapub2-attentional-decoder-networks-for-chest-x-r","industrial_and_medical_ai","published","Attentional Decoder Networks for Chest X-ray Image Recognition on High-resolution Features","2024-04-21","Hankyul Kang, Namkug Kim, Jongbin Ryu","CMPB 2024","Chest X-ray | Attention Decoder | High-resolution Features","MMAI Lab","","","https://github.com/CVL-Lab/ADNet","https://www.sciencedirect.com/science/article/pii/S0169260724001949","FALSE","",""
"TRUE","biomedical-bapub3-analyzing-to-discover-origins-of-cnns-and","industrial_and_medical_ai","published","Analyzing to Discover Origins of CNNs and ViT Architectures in Medical Images","2024-04-16","Seungmin Oh, Namkug Kim, Jongbin Ryu","Sci Rep 2024","Medical Imaging | CNN and ViT Analysis | Model Interpretability","MMAI Lab","","","","https://www.nature.com/articles/s41598-024-58382-3","FALSE","",""
"TRUE","biomedical-bapub6-towards-long-tailed-multi-label-disease","industrial_and_medical_ai","published","Towards long-tailed, multi-label disease classification from chest X-ray: Overview of the CXR-LT challenge","2024-01-01","CVAMD participants including Jongbin Ryu","MedIA 2024","Long-tailed Learning | Multi-label Classification | Chest X-ray","MMAI Lab","","","","https://www.sciencedirect.com/science/article/abs/pii/S136184152400149X","FALSE","",""
"TRUE","biomedical-bapub7-fine-grained-self-supervised-learning-with","industrial_and_medical_ai","published","Fine-Grained Self-Supervised Learning with Jigsaw puzzles for medical image classification","2024-01-01","Wongi Park, Jongbin Ryu","CBM 2024","Fine-Grained Classification | Self-Supervised Learning | Jigsaw Puzzle","MMAI Lab","","","https://github.com/kalelpark/FG-SSL","https://www.sciencedirect.com/science/article/abs/pii/S0010482524005444","FALSE","",""
"TRUE","hei-publications-pga-personalizing-grasping-agents-with-single-human-robot-interaction","robot_learning","published","PGA: Personalizing Grasping Agents with Single Human-Robot Interaction","2024-01-01","Junghyun Kim, Gi-Cheon Kang*, Jaein Kim*, Seoyoon Yang, Minjoon Jung, Byoung-Tak Zhang","IROS 2024","","HEI Lab","","","","https://ieeexplore.ieee.org/document/10801347","FALSE","IROS 2024 publication from HEI Lab.",""
"TRUE","hei-publications-prograsp-pragmatic-human-robot-communication-for-object-grasping","robot_learning","published","PROGrasp: Pragmatic Human-Robot Communication for Object Grasping","2024-01-01","Gi-Cheon Kang, Junghyun Kim, Jaein Kim, Byoung-Tak Zhang","ICRA 2024","","HEI Lab","","","","https://ieeexplore.ieee.org/document/10610543","FALSE","ICRA 2024 publication from HEI Lab.",""
"TRUE","iknow-publications-can-large-language-models-be-good-emotional-supporter-mitigating-preference-bias-on-emotional-support-conversation","efficient_learning_for_llms","published","Can Large Language Models be Good Emotional Supporter? Mitigating Preference Bias on Emotional Support Conversation","2024-01-01","{Dongjin Kang, Sunghwan Kim}, Taeyoon Kwon, Seungjun Moon, Hyunsouk Cho , Youngjae Yu, Dongha Lee, Jinyoung Yeo","ACL 2024","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","ACL 2024 publication from iKnow Lab.",""
"TRUE","iknow-publications-cross-modal-dynamic-transfer-learning-for-multimodal-emotion-recognition","industrial_and_medical_ai","published","Cross-Modal Dynamic Transfer Learning for Multimodal Emotion Recognition","2024-01-01","Soyeon Hong, HyeoungGuk Kang, Hyunsouk Cho","IEEE Access 2024","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","IEEE Access 2024 publication from iKnow Lab.",""
"TRUE","iknow-publications-multi-intent-aware-session-based-recommendation","efficient_learning_for_llms","published","Multi-intent-aware Session-based Recommendation","2024-01-01","Minjin Choi, Hye-young Kim, Hyunsouk Cho , Jongwuk Lee","SIGIR 2024","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","SIGIR 2024 publication from iKnow Lab.",""
"TRUE","iknow-publications-omnistitch-depth-aware-stitching-framework-for-omnidirectional-vision-with-multiple-cameras","computer_vision_and_learning_algorithms","published","OmniStitch: Depth-Aware Stitching Framework for Omnidirectional Vision with Multiple Cameras","2024-01-01","{Soo-ho Kim, Soyeon Hong}, Kyungsoo Park, Hyunsouk Cho , Kyung-Ah Sohn","ACM MM 2024","","iKnow Lab","","","","https://iknow.ajou.ac.kr/publications/","FALSE","ACM MM 2024 publication from iKnow Lab.",""
"TRUE","lamda-publications-regularization-using-noise-samples-identified-by-the-feature-norm-for-face-recognition","industrial_and_medical_ai","published","Regularization Using Noise Samples Identified by the Feature Norm for Face Recognition","2024-01-01","Taeseong Gim and Kyung-Ah Sohn","IEEE Access 2024","","LAMDA Lab","","","","https://ieeexplore.ieee.org/document/10662963","FALSE","IEEE Access 2024 publication from LAMDA Lab.",""
"TRUE","lamda-publications-text-free-diffusion-inpainting-using-reference-images-for-enhanced-visual-fidelity","computer_vision_and_learning_algorithms","published","Text-free diffusion inpainting using reference images for enhanced visual fidelity","2024-01-01","Beomjo Kim, Kyung-Ah Sohn","Pattern Recognition 2024","","LAMDA Lab","","","","https://www.sciencedirect.com/science/article/pii/S0167865524002976","FALSE","Pattern Recognition 2024 publication from LAMDA Lab.",""
"TRUE","sail-publications-audio-super-resolution-with-robust-speech-representation-learning-of-masked-autoencoder","efficient_learning_for_llms","published","Audio Super-resolution with Robust Speech Representation Learning of Masked Autoencoder","2024-01-01","S.-B. Kim, S.-H. Lee, H.-Y. Choi, S.-W. Lee","IEEE TASLP 2024","","SAIL","","","","https://sites.google.com/view/speechailab/publication","FALSE","IEEE TASLP 2024 publication from SAIL.",""
